IdOrden,puntaje,titulo,mensaje,review_positiva
147671,4,,,
159283,5,,,
153253,5,,,
106278,5,,Recibí mucho antes de la fecha límite.,1.0
154849,5,,Felicitaciones a las tiendas Lannister Me encantó comprar Internet Felicitaciones seguras y prácticas a todos los felices Pascua de Pascua,1.0
168004,1,,,
114847,5,,,
194814,5,,,
108876,5,,,
177136,4,recomiendo,"Aparato eficiente. En el sitio, la marca del dispositivo se imprime como 3desinfector y cuando llega con otro nombre ... actualice con la marca correcta ya que es el mismo dispositivo",1.0
142755,5,,,
141184,5,,,
155311,4,,"Pero un poco, bloquear ... porque el valor es bueno.
",1.0
164505,4,,,
107253,3,,,
178524,5,Super recomendación,"Vendedor confiable, producto OK y entrega antes de la fecha límite.",1.0
143910,2,,"Me gustaría saber lo que pasó, siempre recibí y esta compra ahora me decía",0.0
164347,5,,,
126084,3,,,
193926,1,Mi producto no llegó,Horrible,0.0
125052,4,,,
159022,5,,,
187356,5,Excelente,Nota 10 tienda,1.0
122789,5,,,
135738,5,,Gracias por el atento amim despedido,1.0
113288,5,,,
130348,4,,,
163482,5,,"La compra se realizó fácilmente.
La entrega se realizó mucho antes de la fecha límite.
El producto ya ha comenzado a usarse e incluso el presente,
sin problemas.",1.0
161784,5,,Reloj muy hermoso y barato.,1.0
136341,1,,No me gustó ! Compré gato por liebre,0.0
147690,5,,,
115721,5,,,
163048,1,,"Compre siempre a través de Internet y la entrega ocurre antes de la fecha límite acordada, que creo que es la fecha límite máxima. En Stark, el plazo máximo ya se ha agotado y no ha recibido el producto.",0.0
196753,5,,,
178475,4,Muy bien.,"Recibí exactamente lo que esperaba. Los otros pedidos de otros vendedores se retrasaron, pero llegaron a tiempo.",1.0
122761,5,,,
180609,5,Bien,"Recomiendo ,",1.0
162354,5,,muy buena,1.0
191968,5,¡Maravilloso!,"¡Estoy completamente enamorado, una tienda súper responsable y confiable!",1.0
104219,1,,No hay orden para llegar.,0.0
171967,2,,,
146302,1,,,
138452,5,,,
182290,5,Entrega perfecta,Muy bien. Muy buen aroma.,1.0
158757,5,,,
159795,4,,,
148992,5,,,
108719,5,,"El gran vendedor llegó antes de la fecha límite, me encantó el producto.",1.0
125088,5,,,
167896,5,,Proceso de compra tranquilo y eficiente.,1.0
108849,5,,Espero que dure porque es del cabello.,1.0
